"reference_area","measure","unit_of_measure","sex","age","labour_force_status","work_period","hours_type","worker_status","working_time_arrangement","aggregation_operation","hour_bands","job_coverage","time_period","obs_value","observation_status","unit_multiplier"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1950,1821,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1951,1813,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1952,1813,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1953,1795,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1954,1805,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1955,1795,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1956,1772,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1957,1772,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1958,1743,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1959,1720,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1960,1715,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1961,1717,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1962,1706,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1963,1701,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1964,1673,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1965,1663,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1966,1650,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1967,1622,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1968,1583,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1969,1562,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1970,1562,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1971,1533,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1972,1497,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1973,1483,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1974,1465,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1975,1444,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1976,1452,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1977,1428,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1978,1391,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1979,1381,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1980,1381,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1981,1373,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1982,1386,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1983,1395,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1984,1397,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1985,1401,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1986,1400,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1987,1408,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1988,1426,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1989,1424,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1990,1422,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1991,1410,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1992,1425,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1993,1441,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1994,1476,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1995,1481,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1996,1493,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1997,1497,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1998,1496,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1999,1504,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2000,1485,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2001,1465,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2002,1443,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2003,1431,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2004,1452,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2005,1451,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2006,1450,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2007,1461,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2008,1471,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2009,1457,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2010,1483,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2011,1484,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2012,1471,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2013,1463,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2014,1464,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2015,1465,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2016,1478,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2017,1466,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2018,1465,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2019,1453,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2020,1426,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2021,1447,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2022,1440,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1950,2003,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1951,2022,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1952,2024,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1953,2028,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1954,2020,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1955,2040,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1956,2038,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1957,2010,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1958,1984,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1959,1994,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1960,1989,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1961,1978,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1962,1996,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1963,2010,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1964,2016,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1965,2026,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1966,2016,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1967,1992,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1968,1981,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1969,1979,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1970,1949,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1971,1936,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1972,1932,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1973,1933,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1974,1901,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1975,1881,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1976,1884,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1977,1886,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1978,1878,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1979,1876,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1980,1859,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1981,1854,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1982,1846,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1983,1867,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1984,1883,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1985,1882,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1986,1875,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1987,1883,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1988,1883,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1989,1895,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1990,1878,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1991,1868,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1992,1867,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1993,1875,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1994,1887,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1995,1886,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1996,1887,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1997,1893,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1998,1892,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1999,1888,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2000,1880,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2001,1860,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2002,1853,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2003,1843,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2004,1845,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2005,1842,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2006,1846,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2007,1842,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2008,1829,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2009,1799,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2010,1810,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2011,1819,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2012,1826,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2013,1824,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2014,1829,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2015,1830,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2016,1822,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2017,1820,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2018,1826,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2019,1817,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2020,1789,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2021,1813,"Normal value","Units"
"United States","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2022,1804,"Normal value","Units"
"Australia","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1985,1779,"Normal value","Units"
"Australia","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1986,1782,"Normal value","Units"
"Australia","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1987,1781,"Normal value","Units"
"Australia","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1988,1779,"Normal value","Units"
"Australia","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1989,1791,"Normal value","Units"
"Australia","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1990,1778,"Normal value","Units"
"Australia","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1991,1763,"Normal value","Units"
"Australia","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1992,1760,"Normal value","Units"
"Australia","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1993,1779,"Normal value","Units"
"Australia","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1994,1785,"Normal value","Units"
"Australia","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1995,1786,"Normal value","Units"
"Australia","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1996,1781,"Normal value","Units"
"Australia","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1997,1778,"Normal value","Units"
"Australia","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1998,1764,"Normal value","Units"
"Australia","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1999,1768,"Normal value","Units"
"Australia","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2000,1767,"Normal value","Units"
"Australia","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2001,1736,"Normal value","Units"
"Australia","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2002,1728,"Normal value","Units"
"Australia","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2003,1723,"Normal value","Units"
"Australia","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2004,1721,"Normal value","Units"
"Australia","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2005,1719,"Normal value","Units"
"Australia","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2006,1709,"Normal value","Units"
"Australia","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2007,1709,"Normal value","Units"
"Australia","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2008,1709,"Normal value","Units"
"Australia","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",2009,1681,"Normal value","Units"
